Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0A9F6	GCVA_ECOLI	gcvA	Glycine cleavage system transcriptional activator	1	1	539186	462577	591488	545678	741149	651961
P0A9G2	NHAR_ECOLI	nhaR	Transcriptional activator protein NhaR	3	3	2.74201e+06	2.72052e+06	2.74314e+06	2.82088e+06	2.663e+06	2.99072e+06
P0A9G6	ACEA_ECOLI	aceA	Isocitrate lyase	10	10	2.38684e+07	2.61947e+07	2.53166e+07	2.48987e+07	2.57459e+07	2.59841e+07
P0A9G8	MODE_ECOLI	modE	Transcriptional regulator ModE	8	8	1.01268e+07	1.01828e+07	1.13158e+07	9.82356e+06	1.07077e+07	1.09837e+07
P0A9H1	MUG_ECOLI	mug	G/U mismatch-specific DNA glycosylase	5	5	6.66084e+06	7.2457e+06	6.11462e+06	4.94776e+06	8.04587e+06	4.95882e+06
P0A9H3	LDCI_ECOLI	cadA	Lysine decarboxylase, inducible	3	3	3.91785e+06		3.26101e+06	3.40706e+06	3.79547e+06	3.28307e+06
P0A9H5	BTUR_ECOLI	btuR	Cob(I)yrinic acid a,c-diamide adenosyltransferase	4	4	4.6382e+06	5.36744e+06	4.87862e+06	5.00654e+06	5.12575e+06	5.18086e+06
P0A9H7	CFA_ECOLI	cfa	Cyclopropane-fatty-acyl-phospholipid synthase	13	13	1.54365e+07	1.51177e+07	1.72476e+07	1.67027e+07	1.5915e+07	1.65277e+07
P0A9H9	CHEZ_ECOLI	cheZ	Protein phosphatase CheZ	9	9	6.0451e+06	6.61592e+06	6.52985e+06	6.57728e+06	6.83718e+06	6.86924e+06
P0A9I1	CITE_ECOLI	citE	Citrate lyase subunit beta	14	14	3.39256e+07	3.40679e+07	3.4101e+07	3.6727e+07	3.45151e+07	3.55425e+07
P0A9I3	GCVR_ECOLI	gcvR	Glycine cleavage system transcriptional repressor	3	3	8.75309e+06	9.1077e+06	8.99043e+06	9.21419e+06	9.5788e+06	9.91674e+06
P0A9I8	NIRD_ECOLI	nirD	Nitrite reductase [NAD(P)H] small subunit	2	2	1.88719e+07	2.07403e+07	2.27415e+07	2.23022e+07	1.9985e+07	1.97367e+07
P0A9J0	RNG_ECOLI	rng	Ribonuclease G	11	11	4.72695e+07	4.49802e+07	4.62378e+07	4.67687e+07	4.91251e+07	4.82783e+07
P0A9J4	PANE_ECOLI	panE	2-dehydropantoate 2-reductase	4	4	6.65406e+06	6.76243e+06	7.08557e+06	7.02951e+06	7.32464e+06	6.99629e+06
P0A9J6	RBSK_ECOLI	rbsK	Ribokinase	4	4	1.13068e+07	1.08527e+07	1.05787e+07	1.05351e+07	1.07944e+07	1.03471e+07
P0A9J8	PHEA_ECOLI	pheA	P-protein	7	7	7.98044e+06	8.04397e+06	7.28123e+06	7.84138e+06	7.79597e+06	7.91306e+06
P0A9K3	PHOL_ECOLI	ybeZ	PhoH-like protein	14	14	2.86884e+07	2.82028e+07	2.912e+07	2.82e+07	2.89805e+07	2.87336e+07
P0A9K7	PHOU_ECOLI	phoU	Phosphate-specific transport system accessory protein PhoU	4	4	1.01557e+07	9.83352e+06	1.15697e+07	1.01645e+07	1.0823e+07	1.03405e+07
P0A9K9	SLYD_ECOLI	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	5	5	4.61161e+08	5.07996e+08	4.77719e+08	4.58356e+08	4.87262e+08	4.84251e+08
P0A9L3	FKBB_ECOLI	fklB	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	9	9	1.40039e+08	1.41538e+08	1.35492e+08	1.38565e+08	1.46585e+08	1.35991e+08
P0A9L5	PPIC_ECOLI	ppiC	Peptidyl-prolyl cis-trans isomerase C	5	5	2.00429e+07	1.96853e+07	1.66386e+07	1.78195e+07	2.10916e+07	1.70434e+07
P0A9L8	P5CR_ECOLI	proC	Pyrroline-5-carboxylate reductase	2	2	1.81807e+07	2.03279e+07	1.66615e+07	1.63268e+07	1.83171e+07	1.72081e+07
P0A9M0	LON_ECOLI	lon	Lon protease	35	35	4.6092e+07	4.72742e+07	4.70902e+07	4.6114e+07	4.74642e+07	4.72361e+07
P0A9M2	HPRT_ECOLI	hpt	Hypoxanthine phosphoribosyltransferase	9	9	2.86103e+07	3.10304e+07	3.07119e+07	3.09714e+07	3.04365e+07	3.13868e+07
P0A9M5	XGPT_ECOLI	gpt	Xanthine phosphoribosyltransferase	9	9	2.42732e+08	2.30764e+08	2.28612e+08	2.44122e+08	2.3851e+08	2.52002e+08
P0A9M8	PTA_ECOLI	pta	Phosphate acetyltransferase	34	34	2.37727e+08	2.3733e+08	2.35794e+08	2.2868e+08	2.38234e+08	2.33441e+08
P0A9N4	PFLA_ECOLI	pflA	Pyruvate formate-lyase 1-activating enzyme	4	4	2.30021e+07	2.24071e+07	2.26301e+07	2.32187e+07	2.32258e+07	2.14645e+07
P0A9N8	NRDG_ECOLI	nrdG	Anaerobic ribonucleoside-triphosphate reductase-activating protein	3	3		1.6271e+06	1.75627e+06	1.26175e+06	1.79512e+06	1.8318e+06
