Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AB18	TUSE_ECOLI	tusE	Sulfurtransferase TusE	5	5.0	7175490.0	7206660.0	7193380.0	7154010.0	7530140.0	7029550.0	0	0.6728732766761503	-0.014457988757910548	False	0.03843960601347849	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P52108	RSTA_ECOLI	rstA	Transcriptional regulatory protein RstA	7	7.0	15814600.0	15919700.0	15138600.0	15998700.0	16239100.0	15877600.0	0	0.6733280854426974	0.014510865678324972	False	0.03846552617936755	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A6W9	GSH1_ECOLI	gshA	Glutamate--cysteine ligase	11	11.0	27176500.0	26123400.0	25870800.0	26990200.0	26146600.0	27463700.0	0	0.674248560448195	0.014610270974729481	False	0.03849144634525661	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A9H1	MUG_ECOLI	mug	G/U mismatch-specific DNA glycosylase	5	5.0	6824410.0	4835610.0	6925970.0	5931650.0	5455370.0	6178790.0	0	0.6768766768519721	-0.0773143692955135	False	0.03851736651114567	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0ACB7	HEMY_ECOLI	hemY	Protein HemY	10	10.0	21448400.0	21940500.0	22978400.0	22948600.0	22055100.0	22031000.0	0	0.6795894973843676	-0.015724646978696397	False	0.03854328667703474	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P76002	PLIG_ECOLI	pliG	Inhibitor of g-type lysozyme	7	7.0	7258090.0	5027860.0	7206050.0	7108850.0	6832440.0	6413870.0	0	0.6797099781447822	-0.07659742669333856	False	0.038569206842923795	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P22333	ADD_ECOLI	add	Adenosine deaminase	13	13.0	71689100.0	69938300.0	70102400.0	68103800.0	68581200.0	69501200.0	0	0.6812252048541098	0.010676757020527004	False	0.03859512700881286	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0ADX9	RSMD_ECOLI	rsmD	Ribosomal RNA small subunit methyltransferase D	6	6.0	5633050.0	4577120.0	5752070.0	6163260.0	5066170.0	4824950.0	0	0.6818891421909683	0.06582183672970765	False	0.03862104717470192	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15.0	32708400.0	34322200.0	33219700.0	33740100.0	34449300.0	33886900.0	0	0.6822642923386539	-0.011197833930114556	False	0.038646967340590976	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P08337	MUTT_ECOLI	mutT	8-oxo-dGTP diphosphatase	2	2.0	2686330.0	2711830.0	2890710.0	2747870.0	2436740.0	3094750.0	0	0.6830941169456453	-0.04810000778005976	False	0.03867288750648005	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
