Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P17315	P17315		cirA		2.44916e+06	2.30432e+06	2.35039e+06	2.38973e+06	2.28047e+06	2.2389e+06
P17443	P17443		murG		3.03836e+06	3.04766e+06	3.06164e+06	2.98408e+06	3.1011e+06	2.99621e+06
P17445	P17445		betB		689911	712411	768064	687556	611953	744041
P17846	P17846		cysI		1.12966e+07	1.10779e+07	1.08593e+07	1.11303e+07	1.09902e+07	1.07604e+07
P17854	P17854		cysH		7.00776e+06	6.97365e+06	6.5683e+06	6.60764e+06	6.74761e+06	6.46616e+06
P17952	P17952		murC		2.03558e+06	2.01627e+06	1.9876e+06	1.98393e+06	1.97327e+06	2.03952e+06
P17993	P17993		ubiG		3.61665e+06	3.45894e+06	3.37257e+06	3.65452e+06	3.34189e+06	3.45981e+06
P18133	P18133		pncB		1.66372e+06	1.53118e+06	1.57294e+06	1.62257e+06	1.64417e+06	1.63284e+06
P18196	P18196		minC		1.96239e+06	2.06669e+06	1.87291e+06	1.82288e+06	1.84493e+06	1.85804e+06
P18390	P18390		yjjA		1.62579e+06	1.6236e+06	1.59146e+06	1.69615e+06	1.7745e+06	1.56441e+06
P18393	P18393		ybdZ		417966	402196	445978	499843	444327	488071
P18775	P18775		dmsA		9.55389e+06	9.31067e+06	9.2296e+06	9.10616e+06	9.54705e+06	8.93655e+06
P18776	P18776		dmsB		2.24225e+06	2.25476e+06	2.31111e+06	2.12692e+06	2.16641e+06	2.28285e+06
P18843	P18843		nadE		1.10108e+07	1.07439e+07	1.07836e+07	1.11426e+07	1.07678e+07	1.06404e+07
P19624	P19624		pdxA		458873	445530	565713	409383	478476	533549
P19926	P19926		agp		3.1861e+06	2.86193e+06	3.02882e+06	3.02113e+06	3.10252e+06	3.16114e+06
P19931	P19931		hyaE		1.65267e+06	1.60687e+06	1.60777e+06	1.5154e+06	1.59137e+06	1.4498e+06
P19934	P19934		tolA		1.22923e+06	1.33731e+06	1.35326e+06	1.28688e+06	1.25368e+06	1.2622e+06
P20083	P20083		parE		1.71612e+06	1.79829e+06	1.73245e+06	1.79966e+06	1.75944e+06	1.76857e+06
P20966	P20966		fruA		8.27153e+06	7.82522e+06	8.35746e+06	8.3327e+06	8.51024e+06	8.24174e+06
P21156	P21156		cysD		3.08335e+06	3.06529e+06	2.93514e+06	3.05145e+06	2.79203e+06	2.93549e+06
P21165	P21165		pepQ		9.95273e+06	9.89124e+06	9.47991e+06	9.98046e+06	9.47318e+06	9.42722e+06
P21170	P21170		speA		7.73301e+06	7.63225e+06	7.5371e+06	7.57292e+06	7.31397e+06	7.21907e+06
P21179	P21179		katE		764378	732232	738219	684018	745074	773593
P21338	P21338		rna		2.64394e+06	2.75029e+06	2.56394e+06	2.83024e+06	2.78271e+06	2.37926e+06
P21367	P21367		ycaC		2.82782e+06	2.93609e+06	2.92695e+06	2.9619e+06	2.88313e+06	2.74012e+06
P21369	P21369		pncA		2.03199e+06	2.1459e+06	2.0231e+06	2.06803e+06	2.0565e+06	2.32278e+06
P21420	P21420		nmpC		2.44599e+07	2.31981e+07	2.51219e+07	2.46458e+07	2.66258e+07	2.63855e+07
P21499	P21499		rnr		4.79912e+06	4.81051e+06	4.82574e+06	4.87266e+06	4.88135e+06	4.84313e+06
P21507	P21507		srmB		5.65912e+06	5.68409e+06	5.60499e+06	5.59755e+06	5.61552e+06	5.65308e+06
P21513	P21513		rne		9.65334e+06	9.65134e+06	9.73821e+06	9.79026e+06	9.84669e+06	9.90806e+06
P21599	P21599		pykA		2.05272e+07	2.01902e+07	2.06875e+07	2.08764e+07	2.07481e+07	2.00409e+07
P21645	P21645		lpxD		4.43231e+06	5.08549e+06	4.42664e+06	4.543e+06	4.2049e+06	3.27239e+06
P21829	P21829		ybhA		2.55453e+06	2.59477e+06	2.80705e+06	2.59483e+06	2.55602e+06	2.6598e+06
P21888	P21888		cysS		1.17487e+07	1.14142e+07	1.11774e+07	1.16415e+07	1.14697e+07	1.11045e+07
P21889	P21889		aspS		1.00515e+07	9.82121e+06	9.83439e+06	1.01016e+07	9.75136e+06	9.9289e+06
P21893	P21893		recJ		1.38041e+06	1.2407e+06	1.21347e+06	1.35695e+06	1.19242e+06	1.20885e+06
P22106	P22106		asnB		1.65584e+06	1.58622e+06	1.71393e+06	1.6913e+06	1.75692e+06	1.53609e+06
P22186	P22186		mraZ		2.48333e+06	2.0928e+06	2.47481e+06	2.32259e+06	2.30762e+06	2.52737e+06
P22188	P22188		murE		6.0496e+06	5.84669e+06	5.73242e+06	5.94781e+06	5.7674e+06	5.73424e+06
P22255	P22255		cysQ		7.64436e+06	7.34578e+06	7.34966e+06	7.64866e+06	7.04463e+06	7.53574e+06
P22256	P22256		gabT		1.08798e+06	1.10883e+06	1.02464e+06	1.15087e+06	1.22213e+06	1.26254e+06
P22259	P22259		pckA		8.51436e+06	8.16775e+06	8.30029e+06	8.50971e+06	8.46416e+06	8.47875e+06
P22333	P22333		add		1.45576e+07	1.47027e+07	1.45096e+07	1.51016e+07	1.44202e+07	1.44004e+07
P22523	P22523		mukB		4.17269e+06	4.11018e+06	4.34984e+06	4.11116e+06	4.18526e+06	4.16677e+06
P22524	P22524		mukE		5.72342e+06	5.83763e+06	5.64781e+06	5.55283e+06	5.5348e+06	5.71644e+06
P22525	P22525		ycbB		1.68813e+06	1.74593e+06	1.78443e+06	1.89264e+06	1.70748e+06	1.75356e+06
P22634	P22634		murI		1.14551e+06	1.17562e+06	1.1408e+06	1.19273e+06	1.08869e+06	1.26172e+06
P22939	P22939		ispA		5.0377e+06	4.76419e+06	4.89285e+06	4.82572e+06	4.9569e+06	4.78308e+06
P23003	P23003		trmA		1.04113e+06	1.12692e+06	1.14543e+06	1.09742e+06	1.15743e+06	1.19991e+06
P23305	P23305		yigA		1.48834e+06	1.669e+06	1.54447e+06	1.44696e+06	1.48614e+06	1.63581e+06
P23331	P23331		tdk		2.94978e+06	2.76276e+06	2.8771e+06	2.96349e+06	3.0597e+06	2.99492e+06
P23538	P23538		ppsA		5.41305e+06	5.26057e+06	5.34956e+06	5.36168e+06	5.67482e+06	5.45016e+06
