Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
P0AC59	GLRX2_ECOLI	grxB	Glutaredoxin-2	10	10	4.97054e+07	5.13639e+07	4.88877e+07	5.1125e+07	5.17801e+07	4.90905e+07
P0AC62	GLRX3_ECOLI	grxC	Glutaredoxin-3	4	4	1.47153e+08	1.78785e+08	1.46885e+08	1.50218e+08	1.49724e+08	1.51226e+08
P0AC69	GLRX4_ECOLI	grxD	Glutaredoxin-4	4	4	1.79746e+08	1.81385e+08	1.88758e+08	1.84691e+08	1.76973e+08	1.86328e+08
P0AC75	KDTA_ECOLI	waaA	3-deoxy-D-manno-octulosonic acid transferase	7	7	2.07755e+06	4.0168e+06	2.16051e+06	3.1601e+06	3.22061e+06	1.89558e+06
P0AC81	LGUL_ECOLI	gloA	Lactoylglutathione lyase	2	2	3.19439e+06	2.15201e+06		3.49149e+06	3.27996e+06	3.00943e+06
P0AC84	GLO2_ECOLI	gloB	Hydroxyacylglutathione hydrolase	4	4	2.56271e+06	2.30358e+06	2.8125e+06	2.35183e+06	2.3638e+06	2.68395e+06
P0AC86	PHSG_ECOLI	glgP	Glycogen phosphorylase	12	12	8.95076e+06	8.46746e+06	8.88446e+06	8.50191e+06	8.9091e+06	8.81446e+06
P0AC92	GNSA_ECOLI	gnsA	Protein GnsA	4	2	6.63417e+07	4.98575e+07	6.33429e+07	6.19267e+07	6.00318e+07	6.64249e+07
P0AC98	YAAH_ECOLI	yaaH	Inner membrane protein YaaH	1	1		3.89167e+06	4.93151e+06	4.05789e+06	4.41926e+06	
P0ACA1	YIBF_ECOLI	yibF	Uncharacterized GST-like protein YibF	4	4	7.17395e+06	9.42182e+06	7.85224e+06	7.61733e+06	7.7389e+06	8.04788e+06
P0ACA3	SSPA_ECOLI	sspA	Stringent starvation protein A	11	11	1.94779e+08	2.01724e+08	1.95777e+08	2.0807e+08	2.02201e+08	2.00387e+08
P0ACA7	GSTB_ECOLI	gstB	Glutathione S-transferase GstB	8	8	2.23437e+07	2.01519e+07	2.13372e+07	2.24802e+07	2.07639e+07	2.03885e+07
P0ACB0	DNAB_ECOLI	dnaB	Replicative DNA helicase	13	13	5.66895e+06	5.78564e+06	5.29977e+06	5.949e+06	5.63288e+06	5.52465e+06
P0ACB2	HEM2_ECOLI	hemB	Delta-aminolevulinic acid dehydratase	13	13	7.02192e+07	7.055e+07	7.09507e+07	6.79629e+07	7.10962e+07	6.88822e+07
P0ACB4	HEMG_ECOLI	hemG	Protoporphyrinogen IX dehydrogenase [menaquinone]	9	9	6.75313e+06	8.25283e+06	7.36129e+06	7.147e+06	7.95608e+06	7.6417e+06
P0ACB7	HEMY_ECOLI	hemY	Protein HemY	10	10	1.95945e+07	2.35604e+07	1.91248e+07	2.01871e+07	1.97747e+07	1.96235e+07
P0ACC1	PRMC_ECOLI	prmC	Release factor glutamine methyltransferase	3	3	4.48755e+06		3.27346e+06	4.29629e+06	3.99643e+06	3.47163e+06
P0ACC3	ERPA_ECOLI	erpA	Iron-sulfur cluster insertion protein ErpA	5	5	6.84753e+07	7.44481e+07	6.79531e+07	6.45058e+07	6.35542e+07	7.0703e+07
P0ACC7	GLMU_ECOLI	glmU	Bifunctional protein GlmU	15	15	7.94174e+07	7.83399e+07	7.76672e+07	7.64484e+07	7.68686e+07	7.66174e+07
P0ACD4	NIFU_ECOLI	nifU	NifU-like protein	5	5	1.04633e+08	1.04254e+08	1.00669e+08	1.03067e+08	1.05155e+08	1.01928e+08
P0ACD8	MBHL_ECOLI	hyaB	Hydrogenase-1 large chain	22	22	2.27539e+07	2.26092e+07	2.2042e+07	2.26569e+07	2.23086e+07	2.26128e+07
P0ACE0	MBHM_ECOLI	hybC	Hydrogenase-2 large chain	19	19	7.29431e+07	7.45712e+07	7.24096e+07	7.3592e+07	7.25677e+07	7.28214e+07
P0ACE3	HHA_ECOLI	hha	Hemolysin expression-modulating protein Hha	3	3	2.71535e+07	3.03681e+07	2.69925e+07	3.09228e+07	2.8245e+07	2.82921e+07
P0ACE7	HINT_ECOLI	hinT	HIT-like protein HinT	5	5	8.44692e+07	8.36162e+07	8.87007e+07	8.85769e+07	8.65405e+07	8.72086e+07
P0ACF0	DBHA_ECOLI	hupA	DNA-binding protein HU-alpha	7	7	3.77516e+09	3.47126e+09	3.79925e+09	3.62785e+09	3.73185e+09	3.72478e+09
P0ACF4	DBHB_ECOLI	hupB	DNA-binding protein HU-beta	6	6	3.00835e+08	2.84949e+08	3.06512e+08	2.9314e+08	2.92228e+08	3.02203e+08
P0ACF8	HNS_ECOLI	hns	DNA-binding protein H-NS	8	8	9.90277e+08	9.12365e+08	9.85851e+08	1.07345e+09	1.01545e+09	1.0089e+09
P0ACG1	STPA_ECOLI	stpA	DNA-binding protein StpA	8	8	1.66182e+08	1.69765e+08	1.67667e+08	1.71714e+08	1.66e+08	1.69178e+08
P0ACI0	ROB_ECOLI	rob	Right origin-binding protein	7	7	1.80555e+07	1.89669e+07	1.89147e+07	1.87714e+07	1.92297e+07	1.88378e+07
P0ACI6	ASNC_ECOLI	asnC	Regulatory protein AsnC	2	2	398170	420390	473647	478621	555081	382977
P0ACJ0	LRP_ECOLI	lrp	Leucine-responsive regulatory protein	11	11	4.48776e+07	4.93939e+07	4.51659e+07	4.18265e+07	4.45917e+07	4.55999e+07
P0ACJ8	CRP_ECOLI	crp	cAMP receptor protein	8	8	1.78034e+08	1.46078e+08	1.82045e+08	1.57562e+08	1.65991e+08	1.78993e+08
P0ACK2	AGAR_ECOLI	agaR	Putative aga operon transcriptional repressor	4	4	3.01286e+06	2.5907e+06	2.99371e+06	3.02039e+06	2.6856e+06	2.5227e+06
