Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
P0AGG0	THIL_ECOLI	thiL	Thiamine-monophosphate kinase	4	4	7.84882e+06	8.49775e+06	8.3448e+06	6.70135e+06	7.88531e+06	8.80961e+06
P0AGG2	TESB_ECOLI	tesB	Acyl-CoA thioesterase 2	5	5	7.02931e+06	7.17109e+06	6.58578e+06	7.85441e+06	6.72005e+06	6.94537e+06
P0AGG4	THIO2_ECOLI	trxC	Thioredoxin-2	3	3	9.6711e+06	1.05967e+07	1.01399e+07	8.57595e+06	9.3306e+06	9.69385e+06
P0AGG8	TLDD_ECOLI	tldD	Protein TldD	16	16	3.33219e+07	3.22589e+07	3.20132e+07	3.25902e+07	3.30198e+07	3.18684e+07
P0AGI8	TRKA_ECOLI	trkA	Trk system potassium uptake protein TrkA	4	4	2.34581e+06	2.25194e+06	2.20642e+06	1.66292e+06	2.1606e+06	1.97899e+06
P0AGJ2	TRMH_ECOLI	trmH	tRNA (guanosine(18)-2'-O)-methyltransferase	4	4	1.04505e+07	1.07419e+07	1.03976e+07	1.06171e+07	1.02214e+07	1.03617e+07
P0AGJ5	YFIF_ECOLI	yfiF	Uncharacterized tRNA/rRNA methyltransferase YfiF	12	12	4.75559e+07	4.86002e+07	4.94075e+07	4.83109e+07	4.89177e+07	4.85366e+07
P0AGJ7	TRML_ECOLI	trmL	tRNA (cytidine(34)-2'-O)-methyltransferase	6	6	1.10955e+07	1.15578e+07	1.13787e+07	1.09836e+07	1.07268e+07	1.11929e+07
P0AGJ9	SYY_ECOLI	tyrS	Tyrosine--tRNA ligase	17	17	9.81912e+07	1.10256e+08	1.12218e+08	1.09834e+08	1.10862e+08	1.12981e+08
P0AGK4	YHBY_ECOLI	yhbY	RNA-binding protein YhbY	2	2	8.01453e+07	7.44812e+07	7.01811e+07	7.87049e+07	8.13669e+07	7.30694e+07
P0AGK8	ISCR_ECOLI	iscR	HTH-type transcriptional regulator IscR	4	4	8.27591e+06	8.8026e+06	1.07657e+07	9.07093e+06	8.93481e+06	9.4912e+06
P0AGL2	TDCF_ECOLI	tdcF	Putative reactive intermediate deaminase TdcF	3	3	2.79646e+08	2.0273e+08	2.0947e+08	2.2025e+08	2.26097e+08	2.13415e+08
P0AGL5	RATA_ECOLI	ratA	Ribosome association toxin RatA	2	2	1.97628e+06	1.38075e+06	1.6222e+06	1.21853e+06	1.11491e+06	1.65186e+06
P0AGL7	RSME_ECOLI	rsmE	Ribosomal RNA small subunit methyltransferase E	6	6	1.77188e+07	1.64215e+07	1.55965e+07	1.6146e+07	1.5937e+07	1.55674e+07
P0AGM5	SIRB1_ECOLI	sirB1	Protein sirB1	1	1	2.42395e+06	1.99554e+06	1.86047e+06	2.23825e+06	1.88346e+06	1.9811e+06
P0C018	RL18_ECOLI	rplR	50S ribosomal protein L18	5	5	3.09883e+08	3.47425e+08	3.31658e+08	3.41064e+08	3.22837e+08	3.37629e+08
P0C037	YAIE_ECOLI	yaiE	UPF0345 protein YaiE	2	2	3.61676e+07	4.37538e+07	4.43866e+07	4.31474e+07	3.97784e+07	4.52642e+07
P0C054	IBPA_ECOLI	ibpA	Small heat shock protein IbpA	6	6	2.11255e+07	1.9493e+07	2.05755e+07	2.0341e+07	2.01217e+07	2.01776e+07
P0C058	IBPB_ECOLI	ibpB	Small heat shock protein IbpB	2	2	1.13519e+06	946452	1.03469e+06	1.0885e+06	973866	933770
P0C093	SLMA_ECOLI	slmA	Nucleoid occlusion factor SlmA	5	5	1.82876e+07	1.68589e+07	1.524e+07	1.63763e+07	1.57234e+07	1.59272e+07
P0C0K3	RDOA_ECOLI	rdoA	Protein RdoA	8	8	3.7784e+06	4.13838e+06	3.99972e+06	4.4968e+06	4.32059e+06	3.8947e+06
