Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P69346	P69346		yefM		991365.0	1031360.0	1088630.0	1044110.0	973782.0	974666.0	0	0.40380286038435786	0.05159298025369733	False	0.028123366440146368	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A8Z0	P0A8Z0		yciA		2033460.0	1967520.0	1974080.0	2053100.0	1994590.0	1742090.0	0	0.40441561314187474	0.06836545947025652	False	0.028149503397804497	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P30177	P30177		ybiB		8501730.0	8611570.0	8796280.0	8679800.0	8332600.0	8144360.0	0	0.4065628502065245	0.031135369238118812	False	0.028175640355462626	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A9Q9	P0A9Q9		asd		20645200.0	20562400.0	19636800.0	19776700.0	19895400.0	19379900.0	0	0.40698762672383854	-0.030771562967444474	False	0.028201777313120756	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ADG7	P0ADG7		guaB		36405000.0	35573800.0	36736100.0	36067300.0	35561200.0	34701000.0	0	0.40705333367875984	0.022606516044362868	False	0.028227914270778882	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P08957	P08957		hsdM		12676300.0	12579900.0	12564800.0	12733000.0	12617700.0	12110300.0	0	0.40720617349344096	0.021042310740208327	False	0.02825405122843701	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ACV8	P0ACV8		ymjA		3521060.0	3593650.0	3426380.0	3509380.0	3585720.0	3554240.0	0	0.40738133119580233	-0.020080543193118718	False	0.02828018818609514	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6L7	P0A6L7		uxaB		1693160.0	1722730.0	1983280.0	1670320.0	1663390.0	1562420.0	0	0.4075488099634134	0.09495368313459372	False	0.02830632514375327	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P17445	P17445		betB		703970.0	727086.0	812610.0	757101.0	824296.0	833615.0	0	0.40845859218843705	0.08012589265926194	False	0.028332462101411396	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P27859	P27859		tatD		1364110.0	1433780.0	1337250.0	1382710.0	1333000.0	1344410.0	0	0.40875367791358935	-0.031456105392373	False	0.028358599059069525	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
