Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P37747	P37747		glf		595809.0	665233.0	637438.0	674469.0	444908.0	764007.0	0	0.12032087947592866	-0.326059180522663	False	0.022903563941299793	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ABA0	P0ABA0		atpF		22746700.0	23140600.0	22322100.0	23013000.0	22956200.0	23884800.0	0	0.12052821697842299	-0.04208107486602756	False	0.022929769392033544	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ACB0	P0ACB0		dnaB		2512080.0	2250110.0	2551100.0	2511240.0	2598290.0	2318430.0	0	0.12064823421204836	0.11391669732512194	False	0.022955974842767297	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P37182	P37182		hybD		3742220.0	3774060.0	3719410.0	3859720.0	3661260.0	3744780.0	0	0.12103939671168704	-0.03278630628633205	False	0.022982180293501048	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P31663	P31663		panC		3028470.0	2913850.0	3018420.0	2940160.0	3162750.0	3014740.0	0	0.12142460850866972	0.054413984052700544	False	0.023008385744234805	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P64429	P64429		ypfJ		1119620.0	891878.0	1030000.0	1069150.0	1130570.0	894933.0	0	0.12156270114376513	0.19980310460735273	False	0.023034591194968555	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A8A2	P0A8A2		yeeN		7971100.0	8620620.0	8895520.0	9230450.0	8076850.0	9258890.0	0	0.12184286197582068	-0.12016080549706717	False	0.023060796645702306	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P17854	P17854		cysH		6684880.0	6430520.0	7112450.0	6540290.0	6799560.0	6698360.0	0	0.12217166745882903	0.06649043600597608	False	0.02308700209643606	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A8Q6	P0A8Q6		clpS		1534240.0	1420920.0	1457360.0	1426930.0	1516770.0	1481590.0	0	0.12217890621483621	0.05842549296535356	False	0.023113207547169813	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P06129	P06129		btuB		14602400.0	14463300.0	15047200.0	14282200.0	14574100.0	13618100.0	0	0.12254746285283516	0.06199454130764181	False	0.023139412997903567	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
