Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P11880	P11880		murF		5014100.0	5188710.0	4862980.0	5090060.0	5107040.0	5196280.0	0	0.3682110288221873	0.031033721027587568	False	0.03238424693986163	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P37024	P37024		hrpB		569536.0	553683.0	596491.0	585560.0	441463.0	544512.0	0	0.36935789046085715	-0.12999089625330743	False	0.032410856838744014	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0AE74	P0AE74		citT		736406.0	723751.0	679686.0	695776.0	766087.0	767168.0	0	0.3713912629222191	0.05891173069395878	False	0.032437466737626396	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P60438	P60438		rplC		292349000.0	287392000.0	293462000.0	290191000.0	294259000.0	296892000.0	0	0.37164562748396174	0.013384870907479798	False	0.032464076636508785	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P06722	P06722		mutH		892606.0	870584.0	965983.0	899928.0	998984.0	952582.0	0	0.37234153365545625	0.06325414830348351	False	0.03249068653539117	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P30177	P30177		ybiB		8703990.0	9069870.0	8500580.0	8485620.0	8525750.0	8688830.0	0	0.37291591795559753	-0.03188042907535418	False	0.03251729643427355	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0A8T7	P0A8T7		rpoC		54305800.0	53928300.0	54469000.0	54328900.0	53905700.0	53770900.0	0	0.3733269969862469	-0.006198946433419924	False	0.03254390633315594	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P33920	P33920		yejK		2630710.0	2646400.0	2574620.0	2760730.0	2573570.0	2709910.0	0	0.37402246469411266	0.034940181514485254	False	0.03257051623203832	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P32176	P32176		fdoG		5674990.0	5669520.0	5639090.0	5705530.0	5722150.0	5641420.0	0	0.3742963962304439	0.00724469338437539	False	0.0325971261309207	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0ABJ1	P0ABJ1		cyoA		2213500.0	2410010.0	2322390.0	2405490.0	2286330.0	2517450.0	0	0.37457100456289255	0.053691541284809775	False	0.03262373602980309	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0A7F3	P0A7F3		pyrI		1976260.0	2049320.0	2100240.0	2143960.0	2048740.0	2071490.0	0	0.37562061149486015	0.03222499620590362	False	0.03265034592868547	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
