Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0A6W0	P0A6W0		glsA2		2.12361e+06	2.14642e+06	1.9506e+06	2.14319e+06	2.29842e+06	2.20011e+06
P0A6W3	P0A6W3		mraY		1.28649e+06	1.30161e+06	1.39064e+06	1.40418e+06	1.44359e+06	1.50442e+06
P0A6W5	P0A6W5		greA		2.53494e+07	2.49291e+07	2.49071e+07	2.39476e+07	2.41123e+07	2.43681e+07
P0A6W9	P0A6W9		gshA		4.72007e+06	4.87031e+06	4.54602e+06	4.90748e+06	4.78401e+06	4.93702e+06
P0A6X3	P0A6X3		hfq		958729	930426	894013	1.07739e+06	1.02931e+06	1.02199e+06
P0A6X7	P0A6X7		ihfA		5.16442e+07	5.31963e+07	5.22235e+07	5.0534e+07	5.16634e+07	5.1316e+07
P0A6Y1	P0A6Y1		ihfB		1.25175e+07	1.30125e+07	1.20166e+07	1.19167e+07	1.09601e+07	1.1495e+07
P0A6Y5	P0A6Y5		hslO		6.2871e+06	6.53293e+06	6.80564e+06	6.86945e+06	6.74145e+06	6.67219e+06
P0A6Y8	P0A6Y8		dnaK		3.17025e+07	3.17258e+07	3.13687e+07	3.14982e+07	3.11436e+07	3.13225e+07
P0A6Z1	P0A6Z1		hscA		3.73548e+06	3.69783e+06	3.65378e+06	3.59231e+06	3.49616e+06	3.56069e+06
P0A6Z3	P0A6Z3		htpG		2.70211e+07	2.72636e+07	2.68522e+07	2.77907e+07	2.74531e+07	2.75486e+07
P0A6Z6	P0A6Z6		nikR		2.02969e+06	2.09095e+06	1.99933e+06	2.03238e+06	1.93687e+06	2.0925e+06
P0A705	P0A705		infB		2.25137e+07	2.23481e+07	2.26582e+07	2.22381e+07	2.22341e+07	2.24893e+07
P0A707	P0A707		infC		4.64008e+07	4.753e+07	4.70628e+07	4.83568e+07	4.75733e+07	4.73512e+07
P0A715	P0A715		kdsA		2.21124e+07	2.21794e+07	2.21146e+07	2.16445e+07	2.12455e+07	2.1339e+07
P0A717	P0A717		prs		4.97111e+07	4.92909e+07	4.86078e+07	4.79442e+07	4.71605e+07	4.76264e+07
P0A720	P0A720		tmk		2.76639e+06	2.88669e+06	2.82762e+06	3.00309e+06	2.87344e+06	2.94829e+06
P0A722	P0A722		lpxA		8.30863e+06	8.46875e+06	8.03692e+06	8.72823e+06	8.65538e+06	8.81873e+06
P0A729	P0A729		yceF		2.3788e+06	2.40276e+06	2.40959e+06	2.30132e+06	2.38288e+06	2.32277e+06
P0A731	P0A731		mgsA		3.9196e+06	3.72582e+06	4.07085e+06	4.0162e+06	3.47571e+06	3.75422e+06
P0A734	P0A734		minE		2.97102e+07	2.79283e+07	2.89101e+07	2.87517e+07	2.87872e+07	2.85516e+07
P0A738	P0A738		moaC		866770	889963	872998	893999	843172	905915
P0A744	P0A744		msrA		3.37421e+06	3.28337e+06	3.68154e+06	2.81447e+06	3.43643e+06	3.28526e+06
P0A746	P0A746		msrB		1.58684e+06	1.65093e+06	1.58531e+06	1.88239e+06	1.83629e+06	1.87366e+06
P0A749	P0A749		murA		8.27603e+06	7.96319e+06	8.47487e+06	8.35365e+06	8.16741e+06	8.13511e+06
P0A759	P0A759		nagB		4.69994e+06	4.49273e+06	4.77934e+06	4.724e+06	4.43123e+06	4.28514e+06
P0A763	P0A763		ndk		1.59655e+07	1.53087e+07	1.54877e+07	1.57166e+07	1.58328e+07	1.62937e+07
P0A780	P0A780		nusB		1.37011e+07	1.3793e+07	1.39317e+07	1.25651e+07	1.26711e+07	1.23181e+07
P0A784	P0A784		orn		2.89144e+06	2.76605e+06	2.8029e+06	2.88764e+06	2.96481e+06	2.91407e+06
