Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P31120	P31120		glmM		1.05744e+07	1.09783e+07	1.10771e+07	1.04586e+07	1.06748e+07	1.04605e+07
P31142	P31142		sseA		6.70873e+06	7.07292e+06	6.85852e+06	6.79016e+06	7.08386e+06	6.94349e+06
P31224	P31224		acrB		2.0707e+06	2.21358e+06	2.08534e+06	2.21003e+06	2.17471e+06	2.09596e+06
P31433	P31433		yicH		1.27418e+06	1.3533e+06	1.27181e+06	1.29716e+06	1.39033e+06	1.37542e+06
P31455	P31455		yidR		1.37597e+06	1.3551e+06	1.27863e+06	1.42838e+06	1.38554e+06	1.32564e+06
P31460	P31460		dgoR		1.39554e+06	1.13763e+06	1.43736e+06	1.47153e+06	1.31357e+06	1.35565e+06
P31467	P31467		yieH		1.97917e+06	2.12907e+06	2.18316e+06	2.10095e+06	2.00802e+06	2.06671e+06
P31473	P31473		ravA		1.3566e+06	1.29079e+06	1.3315e+06	1.31033e+06	1.39223e+06	1.35608e+06
P31475	P31475		yieP		1.22218e+06	1.05669e+06	1.1709e+06	1.14671e+06	1.15799e+06	1.23081e+06
P31550	P31550		thiB		1.83939e+06	1.65302e+06	1.76311e+06	1.71131e+06	1.74589e+06	1.85098e+06
P31554	P31554		lptD		6.72643e+06	6.72596e+06	6.62745e+06	6.66002e+06	6.69797e+06	6.72385e+06
P31658	P31658		hchA		8.86414e+06	8.54335e+06	8.71773e+06	8.38967e+06	8.49145e+06	8.7231e+06
P31663	P31663		panC		3.34777e+06	3.07552e+06	3.14214e+06	3.21609e+06	3.11134e+06	3.18611e+06
P31697	P31697		fimC		4.53597e+06	4.61958e+06	4.72757e+06	4.55964e+06	4.53376e+06	4.59738e+06
P31802	P31802		narP		3.08166e+06	2.96294e+06	2.94165e+06	3.03953e+06	3.07425e+06	3.04458e+06
P31808	P31808		yciK		3.29222e+06	3.1342e+06	3.27949e+06	3.28963e+06	3.13419e+06	3.10043e+06
P31825	P31825		yfiC		701652	677743	728662	642858	696888	652984
P31979	P31979		nuoF		1.19517e+07	1.24314e+07	1.25032e+07	1.21908e+07	1.25487e+07	1.20154e+07
P32099	P32099		lplA		2.09133e+06	2.02425e+06	2.11562e+06	2.12224e+06	2.03978e+06	2.08706e+06
P32131	P32131		hemN		2.3486e+06	2.35991e+06	2.35328e+06	2.34756e+06	2.3508e+06	2.39581e+06
P32132	P32132		typA		3.94666e+07	3.96319e+07	3.93634e+07	3.93661e+07	3.91762e+07	3.91539e+07
P32157	P32157		yiiM		3.38968e+06	3.42959e+06	3.35023e+06	3.20421e+06	3.35663e+06	3.56422e+06
P32162	P32162		yiiS		2.27653e+06	2.20454e+06	2.26678e+06	2.31339e+06	2.16141e+06	2.19842e+06
P32173	P32173		mobA		764261	708612	655116	711237	656558	667832
P32176	P32176		fdoG		8.50428e+06	8.61122e+06	8.64139e+06	8.65378e+06	8.56751e+06	8.60604e+06
P32662	P32662		gph		1.16095e+06	899807	891409	849496	968567	1.09489e+06
