Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0A903	P0A903		bamC		1.77872e+07	1.88777e+07	1.86776e+07	1.85663e+07	1.80072e+07	1.7569e+07
P0A905	P0A905		slyB		2.73245e+07	2.94037e+07	2.99877e+07	2.90832e+07	2.82427e+07	2.73187e+07
P0A908	P0A908		mipA		1.90444e+06	2.00137e+06	2.25518e+06	2.1415e+06	1.95741e+06	2.25329e+06
P0A910	P0A910		ompA		5.81027e+08	6.13763e+08	6.03864e+08	6.09156e+08	5.95615e+08	5.79705e+08
P0A912	P0A912		pal		5.25025e+07	6.00339e+07	5.79817e+07	6.07969e+07	5.57809e+07	5.56075e+07
P0A915	P0A915		ompW		1.45146e+07	1.44569e+07	1.58221e+07	1.50228e+07	1.43349e+07	1.56537e+07
P0A917	P0A917		ompX		1.55857e+07	1.54443e+07	1.55875e+07	1.57304e+07	1.60503e+07	1.57373e+07
P0A921	P0A921		pldA		1.76317e+06	1.84373e+06	1.82452e+06	1.849e+06	1.86374e+06	1.88698e+06
P0A927	P0A927		tsx		9.20478e+06	9.74945e+06	1.00454e+07	9.49909e+06	9.61359e+06	9.93715e+06
P0A932	P0A932		gfcE		6.91181e+06	7.87014e+06	7.76257e+06	7.47354e+06	6.80218e+06	6.98457e+06
P0A935	P0A935		mltA		5.43534e+06	5.34495e+06	5.51607e+06	5.50416e+06	5.4262e+06	5.52798e+06
P0A937	P0A937		bamE		7.75703e+06	7.47324e+06	7.8863e+06	7.82246e+06	7.95717e+06	7.55105e+06
