Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P21367	P21367		ycaC		3.06579e+06	3.05213e+06	2.93787e+06	2.83651e+06	3.00472e+06	2.94441e+06
P21369	P21369		pncA		2.25959e+06	2.18377e+06	2.19755e+06	2.25949e+06	2.15538e+06	2.36607e+06
P21420	P21420		nmpC		2.69005e+07	2.60151e+07	2.65164e+07	2.56776e+07	2.68134e+07	2.49259e+07
P21499	P21499		rnr		4.2345e+06	4.2724e+06	4.29668e+06	4.21308e+06	4.22962e+06	4.16955e+06
P21507	P21507		srmB		5.28079e+06	5.31542e+06	5.21724e+06	5.24027e+06	5.21973e+06	4.64533e+06
P21513	P21513		rne		6.73511e+06	6.71231e+06	6.6348e+06	6.62509e+06	6.77413e+06	6.41083e+06
P21599	P21599		pykA		2.17306e+07	2.16383e+07	2.11006e+07	2.13335e+07	2.1214e+07	2.1232e+07
P21645	P21645		lpxD		4.40625e+06	4.35537e+06	4.6105e+06	4.14408e+06	4.75091e+06	4.2784e+06
P21829	P21829		ybhA		2.48067e+06	2.59328e+06	2.56985e+06	2.48842e+06	2.48974e+06	2.65745e+06
P21888	P21888		cysS		1.15326e+07	1.16685e+07	1.15174e+07	1.19386e+07	1.15102e+07	1.08103e+07
P21889	P21889		aspS		1.14057e+07	1.12738e+07	1.13013e+07	1.12302e+07	1.1142e+07	1.14308e+07
P21893	P21893		recJ		1.19571e+06	1.10904e+06	1.06565e+06	1.17613e+06	1.17003e+06	1.3539e+06
P22106	P22106		asnB		1.88856e+06	1.76849e+06	1.91998e+06	1.84842e+06	1.83172e+06	1.64345e+06
P22186	P22186		mraZ		2.04895e+06	2.18003e+06	2.11649e+06	2.40952e+06	2.30582e+06	2.43591e+06
P22188	P22188		murE		4.56997e+06	4.59176e+06	4.66942e+06	4.6625e+06	4.65031e+06	4.63375e+06
P22255	P22255		cysQ		7.16705e+06	7.15413e+06	7.33381e+06	7.27426e+06	7.16764e+06	6.0797e+06
P22256	P22256		gabT		1.00558e+06	1.06053e+06	1.21812e+06	1.10622e+06	1.13665e+06	1.22825e+06
P22259	P22259		pckA		8.20379e+06	8.25312e+06	8.13496e+06	8.14772e+06	8.05888e+06	8.43374e+06
P22333	P22333		add		1.37854e+07	1.35547e+07	1.29372e+07	1.30649e+07	1.31799e+07	1.34733e+07
