Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
DECOY_sp|P77672|LSRC_ECOLI Autoinducer 2 import system permease protein LsrC OS=Escherichia coli (strain K12) GN=lsrC PE=1 SV=1	DECOY_sp|P77672|LSRC_ECOLI Autoinducer 2 import system permease protein LsrC OS=Escherichia coli (strain K12) GN=lsrC PE=1 SV=1					563129	635150			679867
DECOY_sp|Q47156|YAFN_ECOLI Antitoxin YafN OS=Escherichia coli (strain K12) GN=yafN PE=1 SV=1	DECOY_sp|Q47156|YAFN_ECOLI Antitoxin YafN OS=Escherichia coli (strain K12) GN=yafN PE=1 SV=1				783798	564136	604507	832182	869768	814174
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				6.17287e+06	6.07356e+06	6.20113e+06	686995	702470	765566
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				1.04587e+07	1.01872e+07	1.0654e+07	1.37091e+06	1.53558e+06	1.31314e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				1.01959e+07	9.36795e+06	9.96429e+06	1.3681e+06	1.51261e+06	1.3278e+06
P00350	P00350		gnd		8.87564e+07	9.02257e+07	9.1149e+07	9.03209e+07	9.00802e+07	8.86136e+07
P00363	P00363		frdA		2.54956e+07	2.4606e+07	2.53908e+07	2.54571e+07	2.6077e+07	2.5218e+07
P00370	P00370		gdhA		2.18354e+06	2.06444e+06	2.13268e+06	2.03473e+06	2.111e+06	2.0858e+06
P00393	P00393		ndh		5.69707e+06	5.88877e+06	5.89679e+06	5.68906e+06	5.76797e+06	5.76209e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				4.97214e+06	4.96273e+06	5.21834e+06	685793	832165	834555
P00448	P00448		sodA		3.81571e+06	3.60109e+06	3.70329e+06	3.53793e+06	3.4145e+06	3.56057e+06
P00452	P00452		nrdA		9.88873e+06	9.76216e+06	1.00105e+07	1.03418e+07	1.00787e+07	1.02375e+07
P00490	P00490		malP		5.5466e+06	5.31625e+06	5.44629e+06	5.75239e+06	5.57827e+06	5.68812e+06
P00509	P00509		aspC		1.79437e+07	1.75727e+07	1.79737e+07	1.84716e+07	1.81672e+07	1.83396e+07
P00547	P00547		thrB		1.05862e+06	983604	975840	963260	1.04108e+06	1.05413e+06
P00550	P00550		mtlA		1.40221e+06	1.34842e+06	1.44783e+06	1.44636e+06	1.43079e+06	1.51303e+06
P00561	P00561		thrA		2.40852e+06	2.29639e+06	2.3009e+06	2.34516e+06	2.5121e+06	2.38961e+06
P00562	P00562		metL		3.30281e+06	3.12682e+06	3.20516e+06	3.20761e+06	3.28113e+06	3.28273e+06
P00579	P00579		rpoD		7.98681e+06	7.53674e+06	7.87056e+06	7.78438e+06	7.74345e+06	7.71076e+06
P00582	P00582		polA		3.37233e+06	3.38188e+06	3.45113e+06	3.44804e+06	3.45931e+06	3.45869e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				2.58704e+06	2.6804e+06	2.67488e+06	1.3091e+06	903400	1.72208e+06
P00803	P00803		lepB		5.11872e+06	4.91592e+06	5.51529e+06	5.54575e+06	5.36714e+06	5.06016e+06
P00805	P00805		ansB		2.1187e+07	2.1072e+07	2.11626e+07	2.17759e+07	2.11888e+07	2.16197e+07
P00811	P00811		ampC		946290	896933	958595	862273	968218	842464
P00861	P00861		lysA		301768	262815	268553	151302	158688	165447
P00864	P00864		ppc		3.64799e+07	3.58374e+07	3.60627e+07	3.62188e+07	3.67467e+07	3.65563e+07
P00887	P00887		aroH		3.27676e+06	2.94001e+06	3.02825e+06	2.81006e+06	3.10082e+06	2.96244e+06
P00888	P00888		aroF		2.16845e+06	2.11946e+06	2.19241e+06	2.13731e+06	2.05901e+06	2.12076e+06
P00892	P00892		ilvG		1.00368e+06	991126	1.05296e+06	1.1466e+06	982422	1.2266e+06
P00914	P00914		phrB		783100	718261	575674	588961	649001	632649
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.27588e+07	1.22211e+07	1.22399e+07	4.93585e+06	3.88612e+06	3.30011e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1.84565e+07	1.84512e+07	1.85685e+07	2.06224e+06	2.05003e+06	2.1405e+06
P00934	P00934		thrC		4.59488e+06	4.79245e+06	4.66391e+06	4.64544e+06	4.54233e+06	4.7525e+06
P00935	P00935		metB		2.00907e+06	2.70026e+06	2.0927e+06	2.38501e+06	2.20783e+06	2.23234e+06
P00946	P00946		manA		1.1273e+07	1.15628e+07	1.17596e+07	1.2083e+07	1.18328e+07	1.14855e+07
P00954	P00954		trpS		1.40667e+07	1.46525e+07	1.47006e+07	1.34199e+07	1.3365e+07	1.3245e+07
P00956	P00956		ileS		2.62643e+07	2.57238e+07	2.57305e+07	2.49889e+07	2.55669e+07	2.49887e+07
P00957	P00957		alaS		1.80891e+07	1.80043e+07	1.80386e+07	1.7719e+07	1.75272e+07	1.77968e+07
P00959	P00959		metG		1.88989e+07	1.90609e+07	1.95113e+07	1.88712e+07	1.89336e+07	1.91957e+07
