Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0AES9	P0AES9		hdeA		8.09652e+06	8.63976e+06	9.15141e+06	8.34274e+06	7.73695e+06	8.72928e+06
P0AET2	P0AET2		hdeB		1.61601e+07	1.53934e+07	1.56387e+07	1.31781e+07	1.28587e+07	1.3393e+07
P0AEU0	P0AEU0		hisJ		3.26177e+06	3.22199e+06	3.24837e+06	3.30745e+06	3.40534e+06	3.5884e+06
P0AEU7	P0AEU7		skp		2.251e+07	2.26269e+07	2.27228e+07	2.2459e+07	2.12464e+07	2.19466e+07
P0AEV9	P0AEV9		hycI		400025	362554	390856	278063	282098	288292
P0AEW6	P0AEW6		gsk		2.67261e+06	2.68097e+06	2.72597e+06	2.62248e+06	2.6797e+06	2.69247e+06
P0AEW9	P0AEW9		fruK		1.71907e+07	1.71445e+07	1.71896e+07	1.72512e+07	1.74346e+07	1.73323e+07
P0AEX5	P0AEX5		prkB		1.10704e+06	1.23354e+06	1.3086e+06	1.37763e+06	1.26411e+06	1.41801e+06
P0AEX9	P0AEX9		malE		7.50559e+06	7.6296e+06	7.34838e+06	6.64396e+06	6.79407e+06	6.73418e+06
P0AEY3	P0AEY3		mazG		1.59809e+06	1.52476e+06	1.54093e+06	1.49962e+06	1.50167e+06	1.60903e+06
P0AEY5	P0AEY5		mdaB		1.7829e+06	1.44617e+06	1.65566e+06	1.64489e+06	1.72361e+06	1.77215e+06
