Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P07000	P07000		pldB		508187	509694	556230	556138	496392	514024
P07001	P07001		pntA		2.85178e+06	2.87974e+06	2.8237e+06	2.52079e+06	2.7436e+06	2.82427e+06
P07003	P07003		poxB		2.448e+06	2.53548e+06	2.38175e+06	2.36666e+06	2.38879e+06	2.45783e+06
P07004	P07004		proA		2.46874e+07	2.44432e+07	2.42796e+07	2.43785e+07	2.45325e+07	2.24199e+07
P07012	P07012		prfB		8.62639e+06	8.44649e+06	8.60919e+06	8.64309e+06	8.56638e+06	7.93807e+06
P07014	P07014		sdhB		4.48642e+06	4.5582e+06	4.39698e+06	4.56335e+06	4.49478e+06	4.54491e+06
P07017	P07017		tar		1.45271e+07	1.46724e+07	1.44153e+07	1.41528e+07	1.40105e+07	1.2816e+07
P07021	P07021		yfiB		922091	944949	912689	919663	978138	830389
P07023	P07023		tyrA		2.39177e+06	2.58101e+06	2.57529e+06	2.39793e+06	2.41629e+06	2.54234e+06
P07024	P07024		ushA		4.77003e+06	4.65632e+06	4.7564e+06	4.86488e+06	5.01534e+06	4.79865e+06
P07026	P07026		sdiA		1.67096e+06	1.72981e+06	1.69609e+06	1.60448e+06	1.75022e+06	2.00615e+06
P07117	P07117		putP		459340	349229	358682	429339	389221	484741
P07118	P07118		valS		2.41126e+07	2.42556e+07	2.3833e+07	2.43248e+07	2.36964e+07	2.1895e+07
P07330	P07330		cheB		1.57953e+06	1.59555e+06	1.55969e+06	1.47828e+06	1.597e+06	1.54562e+06
P07363	P07363		cheA		1.74647e+06	1.73952e+06	1.80016e+06	1.74717e+06	1.81673e+06	1.52363e+06
P07364	P07364		cheR		137234	134363	122876	169314	121917	
P07395	P07395		pheT		1.48519e+07	1.49629e+07	1.47163e+07	1.46015e+07	1.48565e+07	1.4286e+07
P07604	P07604		tyrR		2.55842e+06	2.62801e+06	2.63964e+06	2.55631e+06	2.67199e+06	2.6747e+06
P07639	P07639		aroB		3.06806e+06	3.05978e+06	3.14013e+06	3.13499e+06	3.27312e+06	2.96116e+06
P07649	P07649		truA		1.8971e+06	1.93833e+06	1.99074e+06	2.0059e+06	1.96358e+06	2.0718e+06
P07650	P07650		deoA		6.13406e+06	6.19672e+06	5.88954e+06	5.93697e+06	6.13876e+06	5.86052e+06
P07658	P07658		fdhF		959126	896829	917888	968956	923316	961445
P07762	P07762		glgB		3.27263e+06	3.2617e+06	3.06615e+06	3.36144e+06	3.07808e+06	3.2548e+06
P07813	P07813		leuS		1.46838e+07	1.45186e+07	1.42493e+07	1.48737e+07	1.43693e+07	1.35786e+07
P07821	P07821		fhuC		1.00977e+06	937632	945734	944529	971992	980224
P07822	P07822		fhuD		393776	338423	338276	397278	340123	327514
P07862	P07862		ddlB		5.63948e+06	5.6937e+06	5.71137e+06	5.60616e+06	5.72164e+06	5.25694e+06
P07913	P07913		tdh		4.3504e+06	4.11159e+06	4.0863e+06	4.04518e+06	4.08359e+06	3.95998e+06
