Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0A8D6	P0A8D6		ymdB		1.72566e+06	1.61673e+06	1.70867e+06	1.73483e+06	1.60416e+06	1.82177e+06
P0A8E1	P0A8E1		ycfP		1.39257e+07	1.38022e+07	1.502e+07	1.47442e+07	1.39957e+07	1.41426e+07
P0A8E7	P0A8E7		yajQ		1.62793e+07	1.65762e+07	1.49925e+07	1.48998e+07	1.64574e+07	1.49207e+07
P0A8F0	P0A8F0		upp		3.19315e+07	3.20533e+07	3.22462e+07	3.32324e+07	3.28705e+07	3.27926e+07
P0A8F4	P0A8F4		udk		7.42333e+06	7.1636e+06	7.38606e+06	7.49452e+06	7.58633e+06	7.49489e+06
P0A8F8	P0A8F8		uvrB		1.95545e+06	1.85664e+06	2.11186e+06	2.06762e+06	1.96089e+06	1.90451e+06
P0A8G3	P0A8G3		uxaC		1.28833e+06	1.29342e+06	1.34062e+06	1.37094e+06	1.2361e+06	1.38623e+06
P0A8G6	P0A8G6		wrbA		9.37939e+06	9.4352e+06	1.01024e+07	9.74876e+06	9.29539e+06	9.81323e+06
P0A8G9	P0A8G9		xseB		9.24072e+06	9.45775e+06	9.68623e+06	9.59621e+06	8.99778e+06	9.90855e+06
P0A8H8	P0A8H8		yacG		2.00554e+06	1.957e+06	2.05001e+06	2.03748e+06	2.03705e+06	1.83265e+06
P0A8I1	P0A8I1		yqgF		1.51915e+06	1.61973e+06	1.4517e+06	1.5618e+06	1.53585e+06	1.46726e+06
P0A8I3	P0A8I3		yaaA		2.85531e+06	2.89741e+06	2.78385e+06	2.7326e+06	2.83691e+06	2.74117e+06
