Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
P02358	P02358		rpsF		8.12776e+07	8.16062e+07	8.19624e+07	8.29142e+07	8.22406e+07	8.25077e+07
P02359	P02359		rpsG		1.57207e+08	1.60413e+08	1.53708e+08	1.60392e+08	1.53206e+08	1.54582e+08
P02413	P02413		rplO		1.1952e+08	1.18998e+08	1.31548e+08	1.22145e+08	1.34285e+08	1.32824e+08
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				1.06831e+06	1.05476e+06		1.08786e+06		
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				2.2526e+06	2.40212e+06		2.32456e+06	714697	
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				1.81002e+07	1.8143e+07	1.22224e+06	1.81583e+07	523701	
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				1.3088e+07	1.24925e+07	6.10461e+06	1.31529e+07	2.57316e+06	6.19355e+06
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				1.19373e+07	1.1605e+07	477127	1.18275e+07		
P02918	P02918		mrcA		847691	993677	963428	958807	864539	955080
P02919	P02919		mrcB		1.56937e+06	1.49145e+06	1.65794e+06	1.41478e+06	1.42288e+06	1.58986e+06
